Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;OrdenEntidad;Entidad Centralizada;ID del Proceso;Referencia del Proceso;PCI;ID del Portafolio;Nombre del Procedimiento;Descripción del Procedimiento;Fase;Fecha de Publicacion del Proceso;Fecha de Ultima Publicación;Fecha de Publicacion (Fase Planeacion Precalificacion);Fecha de Publicacion (Fase Seleccion Precalificacion);Fecha de Publicacion (Manifestacion de Interes);Fecha de Publicacion (Fase Borrador);Fecha de Publicacion (Fase Seleccion);Precio Base;Modalidad de Contratacion;Justificación Modalidad de Contratación;Duracion;Unidad de Duracion;Fecha de Recepcion de Respuestas;Fecha de Apertura de Respuesta;Fecha de Apertura Efectiva;Ciudad de la Unidad de Contratación;Nombre de la Unidad de Contratación;Proveedores Invitados;Proveedores con Invitacion Directa;Visualizaciones del Procedimiento;Proveedores que Manifestaron Interes;Respuestas al Procedimiento;Respuestas Externas;Conteo de Respuestas a Ofertas;Proveedores Unicos con Respuestas;Numero de Lotes;Estado del Procedimiento;ID Estado del Procedimiento;Adjudicado;ID Adjudicacion;CodigoProveedor;Departamento Proveedor;Ciudad Proveedor;Fecha Adjudicacion;Valor Total Adjudicacion;Nombre del Adjudicador;Nombre del Proveedor Adjudicado;NIT del Proveedor Adjudicado;Codigo Principal de Categoria;Estado de Apertura del Proceso;Tipo de Contrato;Subtipo de Contrato;Categorias Adicionales;URLProceso;Codigo Entidad;Estado Resumen
MUNICIPIO DE PRADERA;891380115;Valle del Cauca;Pradera;Territorial;Descentralizada;CO1.REQ.6394733;110-16-02-06;702580812;CO1.BDOS.6270774;CONVENIO MARCO;Aunar esfuerzos y recursos administrativos, financieros y técnicos para desarrollar el Programa de Interés Público denominado: ALIANZA PAZ PACÍFICO - Capitulo PRADERA, VALLE DEL CAUCA, cuya finalidad es promover la paz bajo la perspectiva de valor universal que propugna por la dignidad del hombre, así como  la diversidad étnica, en congruencia con los Planes de Desarrollo Territorial y Planes de Vida de las Comunidades, a través de actividades y proyectos que ayuden al cierre de brechas socioeco;Presentación de oferta;06/18/2024;06/18/2024;;;;;06/18/2024;0;Contratación directa;Contratos o convenios Interadministrativos (valor cero);196;día(s);;;;Pradera;GESTION CONTRACTUAL 2;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.81101500;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6280781;702,580,812;Adjudicado
MUNICIPIO DE SALENTO;890001127;Quindío;Salento;Territorial;Centralizada;CO1.REQ.6052651;CI-003 DE ABRIL 05 DE 2024;705325868;CO1.BDOS.5934068;CONVENIO INTERADMINISTRATIVO;CONVENIO INTERADMINISTRATIVO PARA AUNAR ESFUERZO ENTRE EL MUNICIPIO DE SALENTO QUINDIO Y EL FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL FONPACIFICO PARA DESARROLLAR ACTIVIDADES DE PARTICIPACIÓN CIUDADANA, SOCIALES, AMBIENTALES, CULTURALES Y DEPORTIVAS QUE PERMITAN ATENDER LAS NECESIDADES PROPIAS DEL ENTE TERRITORIAL;Presentación de oferta;4/05/2024;4/05/2024;;;;;4/05/2024;88,396,000;Contratación directa;Contratos o convenios Interadministrativos (valor cero);266;día(s);;;;Salento;OFICINA CONTRATACIÓN;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.81141601;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5941582;705,325,868;Adjudicado
MUNICIPIO  DE PIJAO;890001181;Quindío;Pijao;Territorial;Centralizada;CO1.REQ.6257068;CONVENIO INTERADMISNTRATIVO 003 DE 2024;705278018;CO1.BDOS.6133706;"AUNAR ESFUERZOS PARA LA REALIZACIÓN DE ACTIVIDADES DEPORTIVAS; CULTURALES Y ARTÍSTICAS A REALIZARSE EN EL MARCO DE LAS FESTIVIDADES CONMEMORATIVAS DE LOS 122 AÑOS DEL MUNICIPIO DE PIJAO; QUINDÍO";AUNAR ESFUERZOS PARA LA REALIZACIÓN DE ACTIVIDADES DEPORTIVAS, CULTURALES Y ARTÍSTICAS A REALIZARSE EN EL MARCO DE LAS FESTIVIDADES CONMEMORATIVAS DE LOS 122 AÑOS DEL MUNICIPIO DE PIJAO, QUINDÍO;Presentación de oferta;05/17/2024;05/17/2024;;;;;05/17/2024;176,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);57;día(s);05/17/2024;;05/17/2024;Pijao;UNIDAD ÚNICA DE CONTRATACIÓN;263;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1930801;710427048;Valle del Cauca;Cali;05/17/2024;176,000,000;JAIRO EDUARDO OCHOA CANO;FONPACIFICO;901039684;V1.80111620;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6143956;705,278,018;Adjudicado
MUNICIPIO DE SALENTO;890001127;Quindío;Salento;Territorial;Centralizada;CO1.REQ.6740551;CONVENIO INTERADMINISTRATIVO 006-2024;705325868;CO1.BDOS.6613290;Aunar esfuerzos entre el municipio de Salento Quindío y el Fondo Mixto de Etnocultura y Desarrollo Social- FONPACIFICO con el fin de realizar acciones orientadas al fortalecimiento de actividades cult;Aunar esfuerzos entre el municipio de Salento Quindío y el Fondo Mixto de Etnocultura y Desarrollo Social- FONPACIFICO con el fin de realizar acciones orientadas al fortalecimiento de actividades culturales, artísticas, patrimoniales, así como la inclusión en estos procesos de los productores del sector rural asociativo y agropecuario del municipio de Salento;Presentación de oferta;08/28/2024;08/28/2024;;;;;08/28/2024;151,920,000;Contratación directa;Ejecución de trabajos artísticos;2;Mes(es);;;;Salento;OFICINA CONTRATACIÓN;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.93141700;Abierto;Prestación de servicios;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6622615;705,325,868;Adjudicado
ALCALDÍA DE VILLAGARZON;800054249;Putumayo;Villagarzón;Territorial;Descentralizada;CO1.REQ.5336717;SPIM-CDCI-003-2023;708723937;CO1.BDOS.5216383;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL FONPACIFICO;AUNAR ESFUERZOS TÉCNICOS ADMINISTRSTIVOS Y FINANCIEROS PARA LA EJECUCIÓN DEL PROYECTO ADQUISICIÓN E INSTALACIÓN DE MATERIALES, HERRAMIENTAS Y EQUIPOS PARA LA OPERACIÓN MANTENIMIENTO Y EXPANSION DEL SISTEMA DE ALUMBRADO PUBLICO DEL MUNICIPIO DE VILLAGARZÓN;Presentación de oferta;11/24/2023;11/24/2023;;;;;11/24/2023;299,099,099;Contratación directa;Contratos o convenios Interadministrativos (valor cero);1;Mes(es);;;;Villagarzón;CONTRATACION;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.72151500;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5232568;708,723,937;Adjudicado
MUNICIPIO DE CARTAGO;891900493;Valle del Cauca;Cartago;Territorial;Centralizada;CO1.REQ.4440273;11-004-2023;704960004;CO1.BDOS.4339577;EVENTO DE PROMOCION DEL BORDADO  FASHION WEEK ES CONTIGO CARTAGO;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS ENTRE EL MUNICIPIO DE CARTAGO Y FONPACIFICO, PARA PRESTAR LOS SERVICIOS DE APOYO LOGISTICO A LA SUBSECRETARIA  DE DESARROLLO ECONÓMICO, TURÍSMO Y FOMENTO DE CIUDAD EN LA ORGANIZACIÓN Y REALIZACION DE UN EVENTO DE PROMOCION DEL BORDADO FASHION WEEK ES CONTIGO CARTAGO COMO PATRIMONIO INMATERIAL QUE FOMENTE LAS CONSTUMBRES Y EL TURISMO EN EL MUNICIPIO DE CARTAGO;Presentación de oferta;04/26/2023;04/26/2023;;;;;04/26/2023;50,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);0;día(s);04/26/2023;;04/26/2023;Cartago;UNIDAD DE CONTRATACIÒN ALCALDÌA DE CARTAGO;137;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1601437;710427048;Valle del Cauca;Cali;04/26/2023;50,000,000;ADAMILA DEL PILAR JARAMILLO RIOS;FONPACIFICO;901039684;V1.81141601;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4343515;704,960,004;Adjudicado
MUNICIPIO DE CARTAGO;891900493;Valle del Cauca;Cartago;Territorial;Centralizada;CO1.REQ.2420713;11-013-2021;704960004;CO1.BDOS.2352793;FONPACIFICO;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS CON LA ALCALDÍA MUNICIPAL DE CARTAGO PARA LA ORGANIZACIÓN, DIGITALIZACIÓN E INVENTARIO DEL ARCHIVO DOCUMENTAL DE LAS VIGENCIAS 2013 A 2019 DE LA SECRETARÍA DE TRÁNSITO Y TRANSPORTE DE CARTAGO (LEY 594 DE 2000 Y SUS REGLAMENTARIOS);Presentación de oferta;11/02/2021;11/02/2021;;;;;11/02/2021;212,648,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);45;día(s);11/03/2021;;11/02/2021;Cartago;UNIDAD DE CONTRATACIÒN ALCALDÌA DE CARTAGO;1,691;1;5;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1161302;710427048;Valle del Cauca;Cali;11/03/2021;212,648,000;LIZETH JOHANNA SUAREZ MORENO;FONPACIFICO;901039684;V1.80111600;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2358632;704,960,004;Adjudicado
MUNICIPIO DE CARTAGO;891900493;Valle del Cauca;Cartago;Territorial;Centralizada;CO1.REQ.4762601;11-015-2023;704960004;CO1.BDOS.4657042;AUNAR ESFUERZOS REALIZACION JORNADAS GESTION DEL RIESGO;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, Y FINANCIEROS CON EL FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL (FONPACÍFICO) PARA PARA LA REALIZACIÓN DE JORNADAS DE SOCIALIZACIÓN DE RIESGOS Y MEDIDAS PREVENTIVAS ANTE LAS EMERGENCIAS A PRESIDENTES DE JUNTAS DE ACCIÓN COMUNAL Y LAS 9 COMUNAS  DEL MUNICIPIO DE CARTAGO VALLE DEL CAUCA;Presentación de oferta;06/28/2023;06/28/2023;;;;;06/28/2023;13,200,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);3;Mes(es);06/28/2023;;06/28/2023;Cartago;UNIDAD DE CONTRATACIÒN ALCALDÌA DE CARTAGO;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1656624;710427048;Valle del Cauca;Cali;06/28/2023;13,200,000;ROSA BIBIANA VELASQUEZ MUNAR;FONPACIFICO;901039684;V1.72103300;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4663973;704,960,004;Adjudicado
MUNICIPIO DE CARTAGO;891900493;Valle del Cauca;Cartago;Territorial;Centralizada;CO1.REQ.4761922;11-014-2023;704960004;CO1.BDOS.4655193;EMPALME;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS ENTRE EL MUNICIPIO DE CARTAGO Y FONPACIFICO, PARA EL ACOMPAÑAMIENTO Y APOYO A LA GESTIÓN DE LOS DIFERENTES PROCESOS ADMINISTRATIVOS Y MISIONALES CON EL FIN DE CONTRIBUIR A CUMPLIR CON LOS LINEAMIENTOS ESTABLECIDOS EN LA NORMATIVIDAD VIGENTE Y POR LOS ORGANOS DE CONTROL RESPECTO AL PROCESO DE EMPALME CON LA ADMINISTRACIÓN MUNICIPAL Y AL INFORME AL CULMINAR LA GESTIÓN CORRESPONDIENTE AL PERIODO 2020 A 2023.;Presentación de oferta;06/28/2023;06/28/2023;;;;;06/28/2023;133,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);6;Mes(es);06/28/2023;;06/28/2023;Cartago;UNIDAD DE CONTRATACIÒN ALCALDÌA DE CARTAGO;255;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1656605;710427048;Valle del Cauca;Cali;06/28/2023;133,000,000;YECENIA CUESTA JIMENEZ;FONPACIFICO;901039684;V1.80111620;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4663952;704,960,004;Adjudicado
MUNICIPIO DE SALENTO;890001127;Quindío;Salento;Territorial;Centralizada;CO1.REQ.6195352;CI-004 DE MAYO 06 DE 2024;705325868;CO1.BDOS.6075408;CONVENIO INTERADMINISTRATIVO;CONVENIO INTERADMINISTRATIVO PARA AUNAR ESFUERZO ENTRE EL MUNICIPIO DE SALENTO Y EL FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL FONPACÍFICO PARA LA EJECUCIÓN DEL PROYECTO  CONSTRUCCIÓN DE LA CUBIERTA EN BIEN INMUEBLE DE LA ADMINISTRACIÓN MUNICIPAL DE SALENTO, UBICADO EN LA CARRERA 6 # 2-15 y 2-17 MUNICIPIO DE SALENTO;Presentación de oferta;5/06/2024;5/06/2024;;;;;5/06/2024;45,089,232;Contratación directa;Contratos o convenios Interadministrativos (valor cero);60;día(s);;;;Salento;OFICINA CONTRATACIÓN;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.72102900;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6083144;705,325,868;Adjudicado
CONCEJO MUNICIPAL CARTAGO;900215967;Valle del Cauca;Cartago;Territorial;Descentralizada;CO1.REQ.4722715;CMC-001-017-2023;719505695;CO1.BDOS.4617499;CONVENIO INTERADMINISTRATIVO ELABORACION INSTRUMENTOS ARCHIVISTICOS;AUNAR ESFUERZOS, TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS PARA LA ELABORACIÓN DE INSTRUMENTOS ARCHIVISTICOS EN EL CONCEJO MUNICIPAL CARTAGO EN CUMPLIMIENTO A LA LEY 594 DE 2000, Y SUS REGLAMENTARIOS.;Presentación de oferta;06/23/2023;06/23/2023;;;;;06/23/2023;132,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);150;día(s);06/23/2023;;06/23/2023;Cartago;CONCEJO MUNICIPAL CARTAGO VALLE;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1652406;710427048;Valle del Cauca;Cali;06/26/2023;132,000,000;NOE ARBOLEDA HURTADO;FONPACIFICO;901039684;V1.80111620;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4624116;719,505,695;Adjudicado
CONCEJO MUNICIPAL CARTAGO;900215967;Valle del Cauca;Cartago;Territorial;Descentralizada;CO1.REQ.4722715;CMC-001-017-2023;719505695;CO1.BDOS.4617499;CONVENIO INTERADMINISTRATIVO ELABORACION INSTRUMENTOS ARCHIVISTICOS;AUNAR ESFUERZOS, TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS PARA LA ELABORACIÓN DE INSTRUMENTOS ARCHIVISTICOS EN EL CONCEJO MUNICIPAL CARTAGO EN CUMPLIMIENTO A LA LEY 594 DE 2000, Y SUS REGLAMENTARIOS.;Presentación de oferta;06/23/2023;06/23/2023;;;;;06/23/2023;132,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);150;día(s);06/23/2023;;06/23/2023;Cartago;CONCEJO MUNICIPAL CARTAGO VALLE;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1652406;710427048;Valle del Cauca;Cali;06/26/2023;132,000,000;NOE ARBOLEDA HURTADO;FONPACIFICO;901039684;V1.80111620;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4624116;719,505,695;Adjudicado
ALCALDÍA MUNICIPAL DE ROLDANILLO;891900289;Valle del Cauca;Roldanillo;Nacional;Centralizada;CO1.REQ.7164163;2024267;704271436;CO1.BDOS.7030564;"EN DESARROLLO DEL CONVENIO MARCO DE ASOCIACIÓN INTERINSTITUCIONAL No. CM-008-2024; AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS Y FINANCIEROS PARA LLEVAR A CABO LA EJECUCIÓN DE LA SEÑALIZACIÓN VIAL HORIZ";EN DESARROLLO DEL CONVENIO MARCO DE ASOCIACIÓN INTERINSTITUCIONAL No. CM-008-2024, AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS PARA LLEVAR A CABO LA EJECUCIÓN DE LA SEÑALIZACIÓN VIAL HORIZONTAL, VERTICAL Y MEJORAMIENTO DE INTERSECCIONES SEMAFORIZADAS EN DIFERENTES SITIOS DEL MUNICIPIO DE ROLDANILLO - VALLE DEL CAUCA.;Presentación de oferta;;;;;;;;141,239,007;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);0;día(s);11/14/2024;;11/13/2024;Roldanillo;Oficina de contratación;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.2087210;710427048;Valle del Cauca;Cali;11/14/2024;145,476,177;JORGE ENRIQUE HOLGUIN VARELA;FONPACIFICO;901039684;V1.46161504;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7044056;704,271,436;Adjudicado
ALCALDIA DE CAICEDONIA;891900660;Valle del Cauca;Caicedonia;Territorial;Centralizada;CO1.REQ.6117910;2024-088;704765114;CO1.BDOS.5998477;"Aunar esfuerzos técnicos; administrativos y financieros con el fondo mixto de etnocultura y desarrollo social (FONPACÍFICO) para el acompañamiento profesional y técnico en el proceso de construcción d";Aunar esfuerzos técnicos, administrativos y financieros con el fondo mixto de etnocultura y desarrollo social (FONPACÍFICO) para el acompañamiento profesional y técnico en el proceso de construcción del instrumento de planeación, plan de desarrollo territorial 2024-2027 del municipio de Caicedonia valle del cauca, conforme a la metodología y lineamientos impartidos por el DNP (Departamento Nacional de Planeación);Presentación de oferta;04/19/2024;04/19/2024;;;;;04/19/2024;25,000,000;Contratación régimen especial;Decreto 092 de 2017;71;día(s);;;;No Aplica;Alcaldia de Caicedonia;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.80101504;Abierto;Decreto 092 de 2017;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6006442;704,765,114;Adjudicado
MUNICIPIO DE DAGUA;800100514;Valle del Cauca;Dagua;Territorial;Descentralizada;CO1.REQ.2452768;CD-545-2021;704923762;CO1.BDOS.2379924;"CONVENIO INTERADMINISTRATIVO ESPECÍFICO  2021586 ENTRE EL MUNICIPIO DE DAGUA; VALLE DEL CAUCA Y EL FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL  FONPACÍFICO; DERIVADO DEL CONVENIO MARCO DE ASOCIACI";CONVENIO INTERADMINISTRATIVO ESPECÍFICO  2021586 ENTRE EL MUNICIPIO DE DAGUA, VALLE DEL CAUCA Y EL FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL  FONPACÍFICO, DERIVADO DEL CONVENIO MARCO DE ASOCIACIÓN INTERINSTITUCIONAL 001 DEL 04 DE NOVIEMBRE DE 2021;Presentación de oferta;11/12/2021;11/12/2021;;;;;11/12/2021;63,860,000;Contratación directa;Contratos o convenios Interadministrativos (valor cero);40;día(s);;;;Dagua;CONTRATACIÓN DAGUA;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.24101500;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2389573;704,923,762;Adjudicado
MUNICIPIO DE ZARZAL;891900624;Valle del Cauca;No Definido;Territorial;Centralizada;CO1.REQ.3662364;CD-368 DEL 2022;704247279;CO1.BDOS.3568234;PS;PS;Presentación de oferta;11/25/2022;11/25/2022;;;;;11/25/2022;360,500,000;Contratación directa;Servicios profesionales y apoyo a la gestión;35;día(s);;;;Zarzal;MUNICIPIO DE ZARZAL;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.93141702;Abierto;Prestación de servicios;No Definido;V193141703;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3575057;704,247,279;Adjudicado
MUNICIPIO DE CARTAGO;891900493;Valle del Cauca;Cartago;Territorial;Centralizada;CO1.REQ.4601234;11-008-2023;704960004;CO1.BDOS.4497965;FERIA DE EMPRENDIMIENTO;AUNAR ESFUERZOS TECNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS PARA DESARROLLAR UNA FERIA DE EMPRENDIMIENTO DIRIGIDA A LOS JOVENES DEL MUNICIPIO DE CARTAGO;Presentación de oferta;05/31/2023;05/31/2023;;;;;05/31/2023;45,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);0;día(s);05/31/2023;;05/31/2023;Cartago;UNIDAD DE CONTRATACIÒN ALCALDÌA DE CARTAGO;2,291;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1631302;710427048;Valle del Cauca;Cali;6/01/2023;45,000,000;ADAMILA DEL PILAR JARAMILLO RIOS;FONPACIFICO;901039684;V1.81141601;Abierto;Otro;No Definido;V180111600, V180141607;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4503760;704,960,004;Adjudicado
MUNICIPIO DE PRADERA;891380115;Valle del Cauca;Pradera;Territorial;Descentralizada;CO1.REQ.3740050;CI 110-14-02-01.2022;702580812;CO1.BDOS.3644242;"INTERVENTORIA AL PROYECTO DE MEJORAMIENTO DE LA VIA TERCIARIA QUE COMUNICA LAS VEREDAS SAN ISIDRO; LA FRIA; LA ARACRANEA Y LA PALOMERA DEL MUCICIPIO DE PRADERA VALLE.";INTERVENTORIA AL PROYECTO DE MEJORAMIENTO DE LA VIA TERCIARIA QUE COMUNICA LAS VEREDAS SAN ISIDRO, LA FRIA, LA ARACRANEA Y LA PALOMERA DEL MUCICIPIO DE PRADERA VALLE.;Presentación de oferta;12/16/2022;12/16/2022;;;;;12/16/2022;73,076,710;Contratación directa;Contratos o convenios Interadministrativos (valor cero);14;día(s);;;;Pradera;GESTION CONTRACTUAL 2;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.81101500;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3652955;702,580,812;Adjudicado
ALCALDIA MUNICIPIO DE CIRCASIA QUINDIO;890001044;Quindío;Circasia;Territorial;Centralizada;CO1.REQ.4759822;Convenio Interadmisnitrativo 007 del 2023;704996578;CO1.BDOS.4653200;"Aunar esfuerzo entre el municipio de Circasia Quindío y el fondo mixto de Etnocultura y Desarrollo Social FONPACÍFICO  para la realización de actividades culturales; artísticas y festividades conme";Aunar esfuerzo entre el municipio de Circasia Quindío y el fondo mixto de Etnocultura y Desarrollo Social- FONPACÍFICO para la realización de actividades culturales, artísticas y festividades conmemorativas en el aniversario 139 del municipio de circasia Quindío;Presentación de oferta;06/28/2023;06/28/2023;;;;;06/28/2023;269,162,119;Contratación directa;No existe pluralidad de oferentes en el mercado;20;día(s);;;;Circasia;SECRETARIA DE GOBIERNO Y DESARROLLO SOCIAL;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.93141702;Abierto;Prestación de servicios;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4662070;704,996,578;Adjudicado
MUNICIPIO DE LA UNION;891901109;Valle del Cauca;La Unión;Territorial;Centralizada;CO1.REQ.7612715;CONVENIO-001-2025;704260173;CO1.BDOS.7477589;CONVENIO-001-2025;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS CON EL FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACÍFICO, PARA LA IMPLEMENTACIÓN DEL MODELO INTEGRADO DE PLANEACIÓN Y GESTIÓN - MIPG, EN EL MARCO DE LA LÍNEA ESTRATÉGICA INSTITUCIONAL DEL PLAN DE DESARROLLO DEL MUNICIPIO 2024-2027 Y EL MAPA DE RUTA DEL PLAN ESTRATÉGICO DE TECNOLOGÍAS DE LA INFORMACIÓN - PETI, EN EL MARCO DE LA POLÍTICA DE GOBIERNO DIGITAL PARA LA ADMINISTRACIÓN MUNICIPAL DE LA UNIÓN, VALLE DEL CAUCA;Presentación de oferta;01/30/2025;01/30/2025;;;;;01/30/2025;54,278,290;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);257;día(s);;;01/30/2025;La Unión;DEPARTAMENTO JURÍDICO;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.2161633;710427048;Valle del Cauca;Cali;01/30/2025;54,278,290;GERMAN VILLAQUIRAN;FONPACIFICO;901039684;V1.80101505;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7491848;704,260,173;Adjudicado
CAMARA DE REPRESENTANTES;899999098;Distrito Capital de Bogotá;No Definido;Nacional;Centralizada;CO1.REQ.1383940;CPS_557_2020;701337164;CO1.BDOS.1342369;CPS_557_2020;PRESTACIÓN DE SERVICIOS PARA APOYAR EN LA REALIZACIÓN Y CULMINACIÓN DE LAS ACTIVIDADES DEL PLAN INSTITUCIONAL DE FORMACIÓN Y CAPACITACIÓN PIFC- 2020.;Presentación de oferta;07/15/2020;07/15/2020;;;;;07/15/2020;500,000,000;Contratación directa;Servicios profesionales y apoyo a la gestión;6;Mes(es);;;;Bogotá;CONTRATACION;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.86101700;Abierto;Prestación de servicios;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1339174;701,337,164;Adjudicado
